🐷自用線路,#genre#
CCTV-1綜合頻道,http://39.134.24.24/PLTV/88888888/224/3221225684/index.m3u8
CCTV-1綜合頻道,http://39.134.24.24/PLTV/88888888/224/3221225652/index.m3u8
CCTV-1綜合頻道,http://zteres.sn.chinamobile.com:6060/yinhe/2/ch00000090990000001018/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-1綜合頻道,http://zteres.sn.chinamobile.com:6060/yinhe/2/ch00000090990000001068/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-1綜合頻道,http://zteres.sn.chinamobile.com:6060/
yinhe/2/ch00000090990000001326/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-1綜合頻道,http://zteres.sn.chinamobile.com:6060/yinhe/2/ch00000090990000001331/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-1綜合頻道,http://111.20.33.70/PLTV/88888893/224/3221226231/index.m3u8
CCTV-1綜合頻道,http://111.20.33.70/PLTV/88888893/224/3221226239/index.m3u8
CCTV-2財經頻道,http://111.20.33.93/TVOD/88888893/224/3221226195/index.m3u8
CCTV-2財經頻道,http://39.134.24.24/PLTV/88888888/224/3221225686/index.m3u8
CCTV-2財經頻道,http://39.134.24.24/PLTV/88888888/224/3221225831/index.m3u8
CCTV-2財經頻道,http://zteres.sn.chinamobile.com:6060/yinhe/2/ch00000090990000001021/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-2財經頻道,http://zteres.sn.chinamobile.com:6060/yinhe/2/ch00000090990000001293/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-2財經頻道,http://zteres.sn.chinamobile.com:6060/yinhe/2/ch00000090990000001332/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-2財經頻道,http://zteres.sn.chinamobile.com:6060/yinhe/2/ch00000090990000001840/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-2財經頻道,http://111.20.33.70/PLTV/88888893/224/3221226195/index.m3u8
CCTV-2財經頻道,http://111.20.33.70/PLTV/88888893/224/3221226224/index.m3u8
